,id,type of property,subtype of property,locality,latitude,longitude,street,postalCode,price,type of sale,number of bedrooms,living area,livable area,fully equipped kitchen,furnished,open fire,terrace,terrace area,garden,garden area,total property area,total land area,number of facades,swimming pool,state of the building,Unnamed: 0,Gemeente,Province,Population,Area(km2),Density,kitchen,price per sqr
10774,10779540,APARTMENT,LOFT,Antwerp,51.2104911,4.4046262,Leopold De Waelplaats 5,2000,399000,residential_sale,1,0,71.0,hyper_equipped,False,False,True,60.0,False,0.0,71.0,0.0,3.0,False,as_new,111,Antwerpen,Antwerpen,1857986,2876.0,647,Hyper equipped,5619.718309859155
10775,10487221,APARTMENT,DUPLEX,Liège,50.6321224,5.5699622,Rue des Fories 2,4000,399000,residential_sale,2,33,109.0,0,False,False,True,7.0,False,0.0,109.0,0.0,3.0,False,as_new,293,Liège,Liège,1106992,3857.0,288,,3660.550458715597
10776,10611069,APARTMENT,PENTHOUSE,Overijse,,,Clos des Chêneaux 18A,3090,435000,residential_sale,3,0,160.0,usa_hyper_equipped,False,False,True,30.0,False,0.0,160.0,0.0,4.0,False,good,218,Overijse,Vlaams-Brabant,1146175,2118.0,542,,2718.75
10777,10789939,APARTMENT,APARTMENT,Mechelen,,,Korenmarkt 55,2800,449000,residential_sale,2,52,148.0,hyper_equipped,False,False,True,28.0,False,0.0,148.0,0.0,2.0,False,as_new,190,Mechelen,Antwerpen,1857986,2876.0,647,Hyper equipped,3033.783783783784
10778,10496003,APARTMENT,GROUND_FLOOR,Brugge,51.224569,3.193698,Karell De Stoutelaan 81,8000,449000,residential_sale,3,42,126.0,0,False,False,False,0.0,False,0.0,126.0,0.0,0.0,False,good,565,Brugge,West-Vlaanderen,1344241,3813.0,353,,3563.492063492064
10779,10655681,APARTMENT,APARTMENT,Louvain-La-Neuve,,,Rue du Bosquet 3,1348,450000,residential_sale,3,1,114.0,installed,False,True,True,8.0,False,0.0,114.0,0.0,0.0,False,0,735,Ottignies-Louvain-la-Neuve,Brabant wallon,403599,1097.0,368,,3947.368421052632
10780,10746411,APARTMENT,APARTMENT,Ixelles,50.8331135,4.3652397,Avenue Louise 200,1050,458500,residential_sale,2,0,106.0,not_installed,False,True,False,0.0,False,0.0,106.0,0.0,0.0,False,0,6,Elsene,Brussel,1208542,162.4,7442,Not equipped,4325.471698113208
10781,10776499,APARTMENT,APARTMENT,Nieuwpoort,,,Artanlaan 2,8620,480000,residential_sale,2,0,93.0,installed,False,False,True,0.0,False,0.0,93.0,0.0,0.0,False,0,596,Nieuwpoort,West-Vlaanderen,1344241,3813.0,353,,5161.290322580645
10782,10723509,APARTMENT,LOFT,Antwerpen,51.206364,4.4040256,Parklaan 187,2018,489000,residential_sale,9,0,315.0,0,False,False,True,15.0,False,0.0,315.0,0.0,0.0,False,good,113,Antwerpen,Antwerpen,1857986,2876.0,647,,1552.3809523809523
10783,10608535,APARTMENT,GROUND_FLOOR,Anderlecht,,,"Avenue d'Itterbeek, 60",1070,499000,residential_sale,3,26,120.0,usa_hyper_equipped,False,False,True,0.0,True,370.0,120.0,0.0,3.0,False,just_renovated,10,Anderlecht,Brussel,1208542,162.4,7442,,4158.333333333333
10784,10654869,APARTMENT,PENTHOUSE,Knokke,51.3487941,3.288181,Dumortierlaan 89,8300,510000,residential_sale,2,0,70.0,0,False,False,False,0.0,False,0.0,70.0,0.0,2.0,False,good,569,Knokke-Heist,West-Vlaanderen,1344241,3813.0,353,,7285.714285714285
10785,10676561,APARTMENT,APARTMENT,Liege,50.6526573,5.5999583,Rue J. Wettinck 49,4000,550000,residential_sale,6,24,225.0,hyper_equipped,False,False,False,0.0,False,0.0,225.0,0.0,2.0,False,good,293,Liège,Liège,1106992,3857.0,288,Hyper equipped,2444.4444444444443
10786,10712650,APARTMENT,APARTMENT,Roeselare,50.9405972,3.1223791,Sint-Michielsstraat 26,8800,556000,residential_sale,3,38,183.0,0,False,False,True,39.0,False,0.0,183.0,0.0,0.0,False,good,619,Roeselare,West-Vlaanderen,1344241,3813.0,353,,3038.251366120219
10787,10731148,HOUSE,HOUSE,Beerse,51.320765,4.857408,,2340,520000,residential_sale,4,0,285.0,installed,False,False,False,0.0,True,70.0,285.0,176.0,2.0,False,as_new,152,Beerse,Antwerpen,1857986,2876.0,647,,1824.561403508772
10788,10594217,HOUSE,EXCEPTIONAL_PROPERTY,Givry,50.3667966,4.0329515,,7041,520000,residential_sale,5,65,250.0,usa_installed,False,True,True,135.0,True,3000.0,250.0,3000.0,4.0,True,as_new,2198,Quévy,Hainaut,1196796,3197.0,375,Equipped,2080.0
